<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20181206,000000,194.0000000,194.2300000,190.1100000,192.1900000,64405800
20181207,000000,193.5100000,196.3500000,192.2000000,195.0100000,63935050
20181210,000000,192.7200000,193.9200000,190.3900000,191.8000000,61557850
20181211,000000,192.1800000,193.8000000,190.2000000,192.5700000,54785390
20181212,000000,193.3000000,193.9000000,190.4500000,190.4500000,50917260
20181213,000000,190.2300000,191.5500000,188.5600000,189.1700000,43425460
20181214,000000,188.8500000,189.1000000,183.7300000,184.9300000,73219440
20181217,000000,184.6500000,186.9600000,182.1100000,182.3000000,59793100
20181218,000000,180.6600000,186.6000000,180.3700000,186.6000000,79653690
20181219,000000,185.4500000,188.8500000,184.3500000,188.8500000,61556660
20181220,000000,185.9500000,191.8200000,185.3100000,189.3000000,87727280
20181221,000000,188.7400000,190.0500000,185.7000000,186.7900000,60615750
20181224,000000,186.1000000,187.2600000,183.5100000,184.3000000,32561380
20181225,000000,182.4100000,183.4700000,179.0400000,183.3000000,34631200
20181226,000000,183.9200000,185.5000000,182.3500000,183.4000000,30069720
20181227,000000,187.2000000,187.4000000,184.1800000,185.0000000,47328110
20181228,000000,185.7800000,187.2200000,184.9800000,186.5000000,39791870
20181229,000000,186.9000000,187.0000000,185.3100000,186.3000000,9136600
20190103,000000,186.3700000,191.5000000,186.0000000,186.9900000,40105780
20190104,000000,187.9900000,190.9900000,187.7700000,190.9900000,32537090
20190108,000000,191.6600000,193.1800000,190.3700000,191.2400000,38581950
20190109,000000,192.7100000,197.0000000,192.1000000,197.0000000,70633230
20190110,000000,196.3000000,197.6400000,195.0300000,196.7500000,56211650
20190111,000000,197.1300000,198.9600000,195.6100000,196.8000000,63643670
20190114,000000,195.6800000,197.4400000,194.0000000,196.8000000,44643520
20190115,000000,197.3900000,198.8400000,195.9100000,198.0000000,52994790
20190116,000000,198.6400000,201.3000000,198.0200000,201.2600000,62392390
20190117,000000,201.6700000,203.5500000,201.0500000,203.3200000,59827610
20190118,000000,204.6000000,208.4400000,203.8300000,208.4400000,74159420
20190121,000000,208.9200000,210.2000000,207.1700000,207.1700000,55401630
20190122,000000,206.6500000,208.8800000,205.6300000,207.9500000,51269620
20190123,000000,207.7500000,212.0000000,207.5200000,210.4000000,79629180
20190124,000000,210.4000000,213.4300000,208.5500000,212.2000000,78312890
20190125,000000,212.7700000,214.1400000,211.0100000,212.0000000,58500020
20190128,000000,212.0000000,213.3000000,207.6300000,209.7000000,56384930
20190129,000000,209.7100000,214.4900000,206.9100000,213.6100000,63896190
20190130,000000,213.8000000,215.7000000,212.2200000,213.1400000,59281660
20190131,000000,215.1700000,218.1000000,214.6700000,217.9000000,80129070
20190201,000000,217.9900000,218.7000000,215.0100000,216.2900000,55398450
